,bbl,eui
302,1021760036,64.0
303,1022500050,55.6
304,3050530001,81.5
305,3013930040,74.8
306,3050660086,58.5
307,2038080038,51.4
308,2046310075,74.7
309,4000650020,20.7
310,5054600037,256.5
311,2045130059,97.2
312,2045140044,53.0
313,2033177501,55.0
314,1018730001,58.8
315,1001020001,115.7
316,1000927501,73.4
317,1001010002,59.7
318,1000770020,55.9
319,3003917501,75.0
320,4066560063,85.3
321,4065420003,83.4
322,4065370028,68.1
323,3055170039,72.1
324,2033560099,99.2
325,1018700029,97.3
326,2043400037,87.3
327,2025060111,65.0
328,2028140008,97.0
329,1019930040,79.3
330,3013810044,88.4
331,3003190007,92.4
332,2027840029,109.5
333,2033060001,73.8
334,2029570008,71.7
335,2039970025,67.9
336,1010780043,159.4
337,4076100056,28.8
338,4002170005,57.6
339,3012680017,61.7
340,1 020900024,99.8
341,3 051470004,39.3
342,1004327502,109.8
343,3054080055,42.0
344,1020470007,52.4
345,4050107504,43.0
346,2045070001,31.5
347,3054180018,94.3
348,3009970006,67.2
349,1010980036,168.2
350,1005460040,113.9
351,4017800036,76.6
352,3071820031,86.1
353,3053890041,60.2
354,3087110036,68.5
355,3087110041,63.7
356,3058690005,108.6
357,3056060029,82.2
358,3052400102,81.3
359,3083437501,4.2
360,3074627502,31.4
361,3086690073,85.0
362,3074410263,67.6
363,3067390006,55.5
364,3086860025,90.5
365,1013737507,38.2
366,3001497501,56.4
367,1018650020,48.1
368,1011710062,61.0
369,3053200024,101.1
370,1010720050,51.4
371,1010710042,101.5
372,2031240001,37.1
373,3050720047,75.1
374,3055950001,74.8
375,3063180044,94.8
376,3013740033,84.3
377,3050547502,82.2
378,3005390014,54.2
379,3032100051,25.9
380,3086767503,23.9
381,3003527501,11.1
382,3073240001,53.4
383,4001400010,46.8
384,2029980018,121.6
385,1020820057,55.9
386,4052830001,115.3
387,4012780038,67.0
388,4013497501,52.7
389,3002550025,69.3
390,3087900059,108.0
391,4013057501,39.0
392,5005210009,33.2
393,3087140010,81.3
394,1014120012,105.7
395,3048040001,77.6
